name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
ZMS The Academy,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Los Angeles, CA",Less than 2-year • Career and Technical,$17K,"$17,035",Not available,Not available,"2228 E Cesar E Chavez Ave, Los Angeles, CA 90033",Phone number not available,zmsacademy.com,https://www.zmsacademy.com/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,25:1,2%,Not available,Not available,Not available,Urban,5
Zane State College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1216_Logo.gif&w=3840&q=75,"Zanesville, OH",4-year • Public,$8K,"$7,609",Not available,Not available,"1555 Newark Rd, Zanesville, OH 43701",Phone number not available,zanestate.edu,https://zanestatecollege.my.site.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,Not available,August 8,Not available*,Not available*,Not available,Not available,Not available,15:1,Not available,August 21,Not available,Not available,Suburban,47
YTI Career Institute: York,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3602_Logo.gif&w=3840&q=75,"York, PA",2-year • Private,$14K,"$14,163",Not available,Not available,"1405 Williams Rd, York, PA 17402",Phone number not available,yti.edu,https://yti.edu/apply-online,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,9:1,88%,Not available,Not available,Not available,Suburban,16
YTI Career Institute: Lancaster,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F214490_Logo.gif&w=3840&q=75,"Lancaster, PA",2-year • For-profit,Not available,Not available,Not available,Not available,"3050 Hempland Rd, Lancaster, PA 17601",Phone number not available,yti.edu,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
YTI Career Institute: Altoona,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F266951_Logo.gif&w=3840&q=75,"Altoona, PA",2-year • For-profit,$18K,"$17,712",Not available,Not available,"2900 Fairway Dr, Altoona, PA 16602",Phone number not available,yti.edu,http://admissions.yti.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,100%,Not available,Not available,Not available,Urban,1
Youngstown State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3790_Logo.gif&w=3840&q=75,"Youngstown, OH",4-year • Public,$12K,"$11,900","$10,513",48%,"1 University Plz, Youngstown, OH 44555",,ysu.edu,https://ysu.edu/admissions/apply-to-ysu,78%,August 1,940–1160*,18–24*,Required,Neither required nor recommended,Considered if submitted,20:1,78%,Not available,"$10,920","7,802",Medium • Urban,152
Young Harris College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F394_Logo.gif&w=3840&q=75,"Young Harris, GA",4-year • Private,$19K,"$18,910","$26,376",49%,"1 College St, Young Harris, GA 30582",,yhc.edu,https://discover.yhc.edu/applynow/inquiryform,64%,Not available,1030–1150*,15–24*,Required,Neither required nor recommended,Considered if submitted,9:1,67%,Not available,"$11,300",810,Small • Rural,29
York University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2145_Logo.gif&w=3840&q=75,"York, NE",4-year • Private,$18K,"$17,835",Not available,37%,"1125 E 8th St, York, NE 68467",,york.edu,https://yorkuniversityneb.my.site.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,57%,Not available,900–1010*,16–22*,Required,Required,Required,12:1,64%,Not available,"$9,500",422,Small • Rural,28
York University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F205822_Logo.gif&w=3840&q=75,"North York, Canada",International,Not available,Not available,Not available,Not available,"Bennett Centre for Student Services, North York, Canada M3J 1P3",Phone number not available,yorku.ca,,Not available,Not available,Not available*,Not available*,Required,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
York Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2280_Logo.gif&w=3840&q=75,"Rock Hill, SC",2-year • Public,$5K,"$4,676",Not available,Not available,"452 Anderson Rd S, Rock Hill, SC 29730",Phone number not available,yorktech.edu,https://www.yorktech.edu/apply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,62%,Not available,Not available,Not available,Suburban,57
York County Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4407_Logo.gif&w=3840&q=75,"Wells, ME",2-year • Public,$7K,"$7,271","$6,081",Not available,"112 College Dr, Wells, ME 04090",,yccc.edu,https://my.yccc.edu/ICS/Admissions/Admissions_homepage.jnz?portlet=EX_FormFlow_-_Forms&screen=FormView&screenType=change&form=922952bf-8a94-4892-9da4-fb5cbfae3e4b,76%,Not available,Not available*,Not available*,Not available,Not available,Not available,21:1,47%,Not available,"$12,309","1,055",Small • Rural,25
York College of Pennsylvania,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3179_Logo.gif&w=3840&q=75,"York, PA",4-year • Private,$21K,"$20,916","$22,275",64%,"441 Country Club Rd, York, PA 17403",,ycp.edu,https://www.ycp.edu/admissions/apply/,94%,August 23,1030–1220*,22–28*,Required,Neither required nor recommended,Considered if submitted,13:1,77%,August 1,"$13,560","3,187",Medium • Suburban,97
